,Year-Month,Sea ice conc (%)
185,2015-06,18.45507772295613
186,2015-07,15.526420294393986
187,2015-08,10.993759864046865
188,2015-09,12.31415252798557
189,2015-10,13.211215671576657
190,2015-11,13.893147328770755
191,2015-12,15.094449179301032
192,2016-01,18.61428252375843
193,2016-02,17.757902221100178
194,2016-03,19.393617749893465
195,2016-04,20.71318080534776
196,2016-05,16.510284587699527
197,2016-06,15.22708923550321
198,2016-07,13.0696115478018
199,2016-08,11.313975037607884
200,2016-09,12.128674571595312
201,2016-10,13.247630369712436
202,2016-11,12.284533237837552
203,2016-12,13.633687215373795
204,2017-01,15.823026959588857
205,2017-02,20.503751506332282
206,2017-03,25.49040503560555
207,2017-04,25.811804711125262
208,2017-05,23.616888993854385
209,2017-06,19.50804764178471
210,2017-07,16.310852684920395
211,2017-08,11.378889322442022
